Weight,Word,Color,Url
10,socialism,#000000,
10,communism,#000000,
10,absolutism,#000000,
10,altruism,#000000,
10,asceticism,#000000,
10,consumerism,#000000,
10,despotism,#000000,
10,egoism,#000000,
10,empiricism,#000000,
10,fatalism,#000000,
10,feminism,#000000,
10,hedonism,#000000,
10,humanism,#000000,
10,idealism,#000000,
10,individualism,#000000,
10,isolationism,#000000,
10,liberalism,#000000,
10,materialism,#000000,
10,nationalism,#000000,
10,nihilism,#000000,
10,pragmatism,#000000,
10,rationalism,#000000,
10,totalitarianism,#000000,
10,capitalism,#000000,
10,satanism,#000000,
10,racism,#000000,
10,anti-racism,#000000